2020-01-22 19:55:38,b'@Expedia @expedia are the details if you care. I booked the flight from DFW to New Delhi. First leg of flight was U\xe2\x80\xa6 https://t.co/NPMOyH14V5'
2020-01-22 19:50:27,b'RT @SusanLiTV: 17 deaths linked to the #coronavirus now confirmed with 544 cases incl. 1st case in the US in #Seattle with 2 #UnitedAirline\xe2\x80\xa6'
2020-01-22 19:49:59,b'RT @SusanLiTV: 17 deaths linked to the #coronavirus now confirmed with 544 cases incl. 1st case in the US in #Seattle with 2 #UnitedAirline\xe2\x80\xa6'
2020-01-22 19:46:49,b'RT @SusanLiTV: 17 deaths linked to the #coronavirus now confirmed with 544 cases incl. 1st case in the US in #Seattle with 2 #UnitedAirline\xe2\x80\xa6'
2020-01-22 19:33:42,b'RT @SusanLiTV: 17 deaths linked to the #coronavirus now confirmed with 544 cases incl. 1st case in the US in #Seattle with 2 #UnitedAirline\xe2\x80\xa6'
2020-01-22 19:27:02,"b""See y'all soon, DC!\n\n#flyroa #unitedairlines #roanoke #virginia #airport #travel https://t.co/hnXtkGcjko https://t.co/dZ7OdGIaoL"""
2020-01-22 19:23:42,b'RT @SusanLiTV: 17 deaths linked to the #coronavirus now confirmed with 544 cases incl. 1st case in the US in #Seattle with 2 #UnitedAirline\xe2\x80\xa6'
2020-01-22 19:15:50,"b""See y'all soon, DC!\n\n#flyroa #unitedairlines #roanoke #virginia #airport #travel @ Roanoke-Blacksburg Regional Airp\xe2\x80\xa6 https://t.co/Ww66Z512kj"""
2020-01-22 19:04:51,b'RT @SusanLiTV: 17 deaths linked to the #coronavirus now confirmed with 544 cases incl. 1st case in the US in #Seattle with 2 #UnitedAirline\xe2\x80\xa6'
2020-01-22 18:56:49,b'RT @SusanLiTV: 17 deaths linked to the #coronavirus now confirmed with 544 cases incl. 1st case in the US in #Seattle with 2 #UnitedAirline\xe2\x80\xa6'
2020-01-22 18:52:24,b'RT @SusanLiTV: 17 deaths linked to the #coronavirus now confirmed with 544 cases incl. 1st case in the US in #Seattle with 2 #UnitedAirline\xe2\x80\xa6'
2020-01-22 18:47:10,b'17 deaths linked to the #coronavirus now confirmed with 544 cases incl. 1st case in the US in #Seattle with 2\xe2\x80\xa6 https://t.co/1NkCK9An8o'
2020-01-22 18:27:03,b'Clear blue skies ahead! Now waiting in Roanoke for my direct flight on United to DC for the DC Auto Show tomorrow!\xe2\x80\xa6 https://t.co/CEoF09cehd'
2020-01-22 18:26:37,b'RT @TechXplore_com: #UnitedAirlines: No Boeing 737 MAX flights this summer https://t.co/rYbaFhj2Oq'
2020-01-22 18:26:36,b'#UnitedAirlines: No Boeing 737 MAX flights this summer https://t.co/rYbaFhj2Oq'
2020-01-22 18:05:00,b'Rabbit flies in her own business-class seat. || #Rabbit #Japan #UnitedStates #SanFrancisco #UnitedAirlines https://t.co/ladZCdgzLg'
2020-01-22 17:55:43,b'Clear blue skies ahead! Now waiting in Roanoke for my direct flight on United to DC for the DC Auto Show tomorrow!\xe2\x80\xa6 https://t.co/hceT1fl4Qw'
2020-01-22 17:53:56,b'Best way to get to a destination really \xe2\x9c\x88\xef\xb8\x8f #newyorkcity #savingtime #unitedairlines https://t.co/MStoMBzVVR'
2020-01-22 17:38:13,b'@united My baggage has been traveling for three days and the airlines have no idea on how to get it delivered back\xe2\x80\xa6 https://t.co/d1NpYrGxqx'
2020-01-22 14:09:04,"b'RT @Heather28985347: Blown away by the Terrible customer service @united and @americanair. 3 days spent trying to get resolution on lost, d\xe2\x80\xa6'"
2020-01-22 13:55:13,b'Blown away by the Terrible customer service @united and @americanair. 3 days spent trying to get resolution on lost\xe2\x80\xa6 https://t.co/pwETBu69Nz'
